epoch,train_loss,val_loss
1,0.7963389453067574,0.6795785422914598
2,0.6312465356374048,0.5992224264301991
3,0.5696706651623028,0.5981179662046197
4,0.5440469519191861,0.5322446694866776
5,0.5216916596023369,0.5138121153895069
6,0.5063548070721238,0.5025071086440664
7,0.49718468172288327,0.5002214751212956
8,0.49121949945355337,0.4890073092779828
9,0.485513663167343,0.48345093087333585
10,0.47984151589656016,0.47926820499409456
11,0.4736651470751969,0.4724772728660404
12,0.4683810972116806,0.4673774456412923
13,0.46371837066245575,0.4633254274454425
14,0.4602951951403556,0.4590864494615197
15,0.458339392864552,0.45714331326818547
16,0.4552318332914299,0.4556619867444511
17,0.45370647985244467,0.4537927100910661
18,0.4513855333053195,0.45114868181762063
19,0.4493588503713333,0.4487697754108459
20,0.446398653408808,0.4466422643768166
21,0.4440940045601231,0.44488713148889875
22,0.44215172259079943,0.44121484579166625
23,0.44049800601739664,0.4430536838189366
24,0.43873555597833935,0.4391666858438663
25,0.43739245941370364,0.4384607292997724
26,0.4363067789924,0.43742180421829985
27,0.4357821563418433,0.43651204793386744
28,0.4344400143649707,0.43602089303544495
29,0.43428310389591096,0.4353630180825359
30,0.4328482720668849,0.44083424020457007
31,0.43191789874789965,0.45234417359787077
32,0.43231722408833184,0.4318704256610965
33,0.4300757809621391,0.43199158472987104
34,0.42922174052226103,0.43113450936299264
35,0.42824554894991396,0.42803098170755116
36,0.42488124035564623,0.42637921147635305
37,0.4220112507606365,0.4213186110009688
38,0.4168587885565667,0.4172041866532898
39,0.41187918263935536,0.4139676249646122
40,0.4087421695594991,0.41221883491125044
41,0.40507511968241783,0.4082289640970895
42,0.4033341762780209,0.40665818188138303
43,0.40231075088542473,0.40659934892786803
44,0.4010174309820425,0.40469634026777457
45,0.39976846544769656,0.40576728270389684
46,0.4001178226588587,0.40387072688496695
47,0.39841324236869524,0.40281474034115416
48,0.3987008512091989,0.40264024287004513
49,0.3980675641627375,0.403009869830003
50,0.3971128623481492,0.4021142945719075
51,0.3969361234964312,0.4022545960824856
52,0.3970584732661258,0.40173640137979744
53,0.3970234916115775,0.40232563043886255
54,0.39617254807055147,0.40208079747852693
55,0.39603400421303103,0.4021628240050584
56,0.3966521183254371,0.400244620967689
57,0.3958212909339337,0.401841022229534
58,0.3958792706606149,0.4010387692357389
59,0.3972999698869452,0.4007014095626699
60,0.3948954828186091,0.40095179752579335
61,0.3949057018477741,0.4001929441837168
62,0.3950607360193998,0.39974773140907577
63,0.3951108546199996,0.40054786520177355
64,0.3946346394740904,0.4006223331879269
65,0.39470007505060833,0.4005379419857937
66,0.394771010880374,0.40071249294622585
67,0.3940451754911283,0.39952579890700257
68,0.3947524257771706,0.3991146344914873
69,0.3941428332307952,0.3994503462240811
70,0.39407521173793725,0.39957923695323116
71,0.39394682935345365,0.39897571385142966
72,0.394086484567159,0.3986200091029442
73,0.39610267696446744,0.4005214954895926
74,0.39358292079106033,0.398467758659836
75,0.39361123436480333,0.399149228086292
76,0.39378986890058926,0.40429827257147716
77,0.3934988535351399,0.3991408968874949
78,0.39419562555164467,0.3982735854015654
79,0.3937616755711758,0.3982244758968558
80,0.39318286665611296,0.39969815773530887
81,0.3937398201867499,0.3981342957967789
82,0.3933867665675762,0.4007274165176872
83,0.39335699421342873,0.40119195803725616
84,0.392748099049783,0.40587091915525886
85,0.39310990067513524,0.3997392884251895
86,0.3930812158778425,0.39835437656603356
